Year,Smoothing,TransectID,GAN_dist_m,GT_dist_m,GAN_is_multipoint,abs_error_m
2021,morph_close,42,36.4402914410457,16.11740719439706,True,20.32288424664864
2021,morph_close,44,-393.48728701937944,-373.29153326852247,True,20.195753750856966
2021,morph_close,45,,1.5044336565770209,True,
2021,morph_close,46,,,True,
2021,morph_close,47,26.269421718858553,26.269421718858553,True,0.0
2021,morph_close,48,14.170690681144947,-6.152193565503694,False,20.32288424664864
2021,morph_close,52,-14.385741900186986,-44.87006827024743,False,30.484326370060444
2021,morph_close,55,-10.520542707585264,-10.520542707585264,False,0.0
2021,morph_close,57,15.604845917958528,-4.718038328748662,False,20.32288424670719
2021,morph_close,59,-22.15011213812477,-52.44374276799181,True,30.29363062986704
2021,morph_close,60,-0.8528386756079271,-0.8528386756079271,False,0.0
2021,morph_close,63,12.547961981967092,2.4500851063058917,False,10.0978768756612
2021,morph_close,64,-26.66902284324169,3.6246077828108128,False,30.293630626052504
2021,morph_close,65,-25.494483887274896,-15.396607010765479,False,10.097876876509417
2021,morph_close,66,36.87755985284468,16.554675606137607,True,20.322884246707076
2021,morph_close,67,,-36.189840274397284,True,
2021,morph_close,68,-38.61148885993623,2.0342796391288402,False,40.64576849906507
2021,morph_close,69,9.203589729499072,-10.992164021357894,False,20.195753750856966
2021,morph_close,70,-29.93554848874919,0.5487778813113664,False,30.484326370060558
2021,morph_close,75,,-464.45097205787897,True,
2021,morph_close,76,-369.28977977560135,,True,
2021,morph_close,79,-307.83680147636915,118.94376770383678,True,426.78056918020593
2021,morph_close,81,-121.88961459929124,,True,
2021,morph_close,83,441.37911603186524,,True,
2021,morph_close,84,-49.14905993928801,-321.7917355765876,True,272.6426756372996
2021,morph_close,88,-79.18703085370373,-89.28490772936505,True,10.097876875661314
2021,morph_close,89,,305.1195513131097,True,
2021,morph_close,90,,-301.04669174784806,True,
2021,morph_close,93,-426.03841192880645,-375.5490275514312,True,50.489384377375245
2021,morph_close,96,-166.36069435137335,-217.16790496808255,True,50.8072106167092
2021,morph_close,97,-33.293293864349835,,True,
2021,morph_close,98,245.23059959575767,,True,
2021,morph_close,100,-335.7149254612159,,True,
2021,morph_close,101,,,True,
2021,morph_close,106,70.04651290224865,484.0594647950493,False,414.01295189280063
2021,morph_close,107,,,True,
2021,morph_close,123,,-17.45744650065899,False,
2021,morph_close,126,,-130.68345029791817,False,
2021,morph_close,128,113.18832120066509,-140.8477318827645,True,254.03605308342958
2021,morph_close,129,,125.10784430662159,True,
2021,morph_close,131,,-94.99003283353522,True,
2021,morph_close,134,-136.97312038915697,-45.520141279150266,True,91.45297911000671
2021,morph_close,136,-3.3497639056296293,-94.80274301569523,True,91.4529791100656
2021,morph_close,137,-126.45818582363427,-136.55606269882992,True,10.097876875195652
2021,morph_close,138,,-71.09898595872801,False,
2021,morph_close,143,,,False,
2021,morph_close,147,,,True,
2021,morph_close,148,-48.41668784467038,-38.255245721316896,True,10.161442123353481
2021,morph_close,150,,,False,
2021,morph_close,151,7.7615081233670935,-12.561376123339869,True,20.322884246706963
2021,morph_close,157,449.54394605522975,,True,
2021,morph_close,158,,,True,
2021,morph_close,161,-103.06452621269273,-92.90308408933925,True,10.161442123353481
2021,morph_close,165,,-64.68131854245439,False,
2021,morph_close,167,-13.604672908782959,-3.5067960331216455,True,10.097876875661314
2021,morph_close,168,-15.473083218093961,4.84980102855468,True,20.32288424664864
2021,morph_close,170,-182.88831785786908,-192.98619473306474,True,10.097876875195652
2021,morph_close,174,-162.1146965297521,-202.76046502310783,True,40.64576849335572
2021,morph_close,183,,,False,
2021,morph_close,184,-42.39893403835595,-12.105303412303329,True,30.293630626052618
2021,morph_close,185,175.4331164234319,-198.1883279676549,True,373.6214443910868
2021,morph_close,186,-136.42654359852895,-25.34989796858281,True,111.07664562994614
2021,morph_close,189,-384.76263658562686,-384.76263658562686,True,0.0
2021,morph_close,194,,-75.51439296879107,True,
2021,morph_close,195,-400.8475619405509,-421.0433156914079,True,20.195753750856966
2021,morph_close,196,,-455.36236209701747,True,
2021,morph_close,199,,-73.89830364380032,True,
2021,morph_close,207,-5.710189196281135,196.2473483122884,True,201.95753750856954
2021,morph_close,209,-172.06397554943976,-172.06397554943976,True,0.0
2021,morph_close,210,456.0081310105745,-306.1000282397729,True,762.1081592503474
2021,morph_close,211,-206.42291434134825,-206.42291434134825,True,0.0
2021,morph_close,213,-179.81319713778794,-7.0686810410697944,True,172.74451609671814
2021,morph_close,214,-201.26617685065162,-18.360218630579652,True,182.90595822007197
2021,morph_close,215,-416.5937663058286,-396.2708820591215,True,20.322884246707076
2021,morph_close,216,-206.90127014927566,-196.80339327408,True,10.097876875195652
2021,morph_close,217,-156.27088218537392,-359.4997246521525,True,203.2288424667786
2021,morph_close,220,-29.499725044413935,-263.21289388119476,True,233.71316883678082
2021,morph_close,222,225.33524031518027,94.06284093484282,True,131.27239938033745
2021,morph_close,224,59.499724613386206,-397.76517093682196,True,457.26489555020817
2021,morph_close,226,,-174.222855647502,True,
2021,morph_close,229,83.25420305487921,408.4203510016672,True,325.166147946788
2021,morph_close,231,,,False,
2021,morph_close,233,-50.391719969920814,,True,
2021,morph_close,236,-19.690023156348616,-29.78790003200993,True,10.097876875661314
2021,morph_close,242,387.569424368441,377.4715474927797,True,10.097876875661314
2021,morph_close,244,-32.43057538662106,-42.52845226228226,True,10.0978768756612
2021,morph_close,245,-58.98716357565729,-58.98716357565729,True,0.0
2021,morph_close,261,-21.87651752581587,-52.36084389581811,True,30.484326370002236
2021,morph_close,263,-291.8112473306246,-59.56007919553667,True,232.25116813508794
2021,morph_close,264,-83.4416616233068,-52.95733525330445,False,30.48432637000235
2021,morph_close,265,-135.54712749784812,-115.35137374699116,True,20.195753750856966
2023,none,1,,,True,
2023,none,2,,,False,
2023,none,3,,,False,
2023,none,4,,,False,
2023,none,8,,,False,
2023,none,9,-0.3685126884956844,-0.3685126884956844,True,0.0
2023,none,10,25.6089361240156,-1.7513604862615466,True,27.360296610277146
2023,none,13,1.3836718811652418,,False,
2023,none,14,-88.22481828388311,,False,
2023,none,15,-137.4418042644511,,False,
2023,none,16,-166.46303699818827,381.7556482907688,False,548.2186852889571
2023,none,17,,,True,
2023,none,18,,,True,
2023,none,19,-225.1111149903545,-255.5954413611139,False,30.48432637075939
2023,none,23,-308.92650793772043,-326.1889276736084,False,17.26241973588799
2023,none,24,,-365.30803229164303,True,
2023,none,27,-433.5155104226434,-453.83839466935046,False,20.322884246707076
2023,none,28,-445.61426826631543,-486.2600367618012,False,40.645768495485754
2023,none,29,-467.8744575430245,-498.3587839146276,False,30.484326371603117
2023,none,30,,,False,
2023,none,32,,,False,
2023,none,33,,,True,
2023,none,35,,,True,
2023,none,36,,286.22487955724694,True,
2023,none,37,173.48730058977503,156.22488085297005,True,17.262419736804986
2023,none,38,,,True,
2023,none,40,-208.66600453760475,-246.1241780235432,True,37.45817348593846
2023,none,41,160.6377716644398,,True,
2023,none,42,310.79922877118224,56.763175687752664,True,254.03605308342958
2023,none,44,-393.48728701937944,-366.1269904091023,True,27.360296610277146
2023,none,45,,28.864730267319715,True,
2023,none,46,,,True,
2023,none,47,-14.376346780019503,26.269421718858553,True,40.645768498878056
2023,none,48,-16.313635688857175,14.170690681144947,False,30.484326370002123
2023,none,52,-44.87006827024743,-4.224299776891712,False,40.64576849335572
2023,none,55,-41.00486907764571,-0.35910058428999037,False,40.64576849335572
2023,none,57,-25.040922575397417,15.604845917958528,False,40.645768493355945
2023,none,59,-52.44374276799181,-25.083446154269723,True,27.360296613722085
2023,none,60,-21.175722922256682,-0.8528386756079271,False,20.322884246648755
2023,none,63,-17.745668644551188,-121.65777141461149,False,103.9121027700603
2023,none,64,-46.86477659409866,-241.65777124324813,False,194.79299464914948
2023,none,65,-15.396607010765479,-361.657754836153,False,346.2611478253875
2023,none,66,57.20044409949321,,True,
2023,none,67,14.617370342311801,,True,
2023,none,68,22.357163888690593,,False,
2023,none,69,-51.383671523071826,,False,
2023,none,70,51.35598849796213,,False,
2023,none,75,-434.1573414313607,,True,
2023,none,76,-379.4512218988966,,True,
2023,none,79,,,True,
2023,none,81,,,True,
2023,none,83,-371.53625383519113,-371.53625383519113,True,0.0
2023,none,84,,,True,
2023,none,88,132.86838353006146,,True,
2023,none,89,-139.18703120574355,,True,
2023,none,90,-28.404016111046076,,True,
2023,none,93,,,True,
2023,none,96,209.61266421212338,,True,
2023,none,97,-206.0378099611262,,True,
2023,none,98,,,True,
2023,none,100,-30.87166176107712,,True,
2023,none,101,,,True,
2023,none,106,39.75288227619603,,True,
2023,none,107,453.78703174338443,,True,
2023,none,123,-129.23330985743087,-17.45744650065899,True,111.77586335677188
2023,none,126,-160.97708092443645,-153.8125380645506,True,7.164542859885842
