Point_ID,Longitude,Latitude,MNDWI,Predicted_Class,True_Class,Reproduced_Class
113,84.9200345117929,19.2890300224922,0.1147,Intertidal,Intertidal,Intertidal
114,84.9053021411333,19.2729501789065,0.12,Intertidal,Intertidal,Intertidal
115,84.9459059919755,19.3038522246802,0.1734,Intertidal,Water,Intertidal
116,84.9793233205448,19.3332271344709,0.0895,Intertidal,Intertidal,Intertidal
117,84.941863573197,19.2939707565549,0.0489,Intertidal,Intertidal,Intertidal
118,84.9179683866394,19.2656738251051,0.1861,Intertidal,Intertidal,Intertidal
119,84.9802216358289,19.3378085424199,0.0459,Intertidal,Intertidal,Intertidal
120,84.9081767500425,19.2382752089395,0.5634,Water,Water,Water
121,84.8885036453203,19.2338734640473,0.5271,Water,Water,Water
122,84.920932827077,19.2544448840536,0.5138,Water,Water,Water
123,84.8544574960522,19.2009951246485,0.5558,Water,Water,Water
124,84.8735916116039,19.2056663641259,0.5311,Water,Water,Water
125,84.9142852939745,19.2492346554057,0.5184,Water,Water,Water
126,84.9250650773839,19.2643263521789,0.5248,Water,Water,Water
127,84.9147344516166,19.2603737649288,0.5446,Water,Water,Water
128,84.9159022614859,19.2482465085932,0.5449,Water,Water,Water
129,84.8829340905587,19.2215665446548,0.5292,Water,Water,Water
130,84.8926358956272,19.2370175675417,0.5626,Water,Water,Water
131,84.903056352923,19.2470786987238,0.5369,Water,Water,Water
132,84.975011407181,19.3314305039027,0.3663,Water,Water,Water
133,84.9845335491927,19.3379882054767,0.5354,Water,Water,Water
134,84.9158124299575,19.255612693923,0.5095,Water,Water,Water
135,84.9945946803748,19.3479595051305,0.4296,Water,Water,Water
136,84.9298261483898,19.2635178684232,0.5249,Water,Water,Water
137,84.9176988920542,19.2529177480706,0.5613,Water,Water,Water
138,84.912219168821,19.2511211175024,0.5256,Water,Water,Water
139,84.9052123096049,19.243844763701,0.5567,Water,Water,Water
140,85.0341205528761,19.397366845757,0.4228,Water,Intertidal,Water
141,84.918327712753,19.249953307633,0.5474,Water,Water,Water
142,84.8853595418259,19.2227343545242,0.5536,Water,Water,Water
143,84.8805086392916,19.2119545711148,0.4985,Water,Water,Water
144,84.8871561723941,19.2339632955757,0.551,Water,Water,Water
145,84.8967681459342,19.2310886866665,0.5332,Water,Water,Water
146,84.9063801194743,19.2398023449225,0.5954,Water,Water,Water
147,84.9231786152873,19.2631585423096,0.507,Water,Water,Water
148,84.9069191086447,19.2694467492984,0.4996,Water,Intertidal,Water
149,84.9415940786117,19.29028766389,0.2197,Water,Water,Water
150,84.9222803000032,19.2585771343606,0.5162,Water,Water,Water
151,84.9058411303038,19.2535465687695,0.5986,Water,Water,Water
152,84.877095041212,19.2021629345179,0.5415,Water,Water,Water
153,84.879071334837,19.2068341739953,0.4971,Water,Water,Water
154,84.9337787356399,19.2706145591678,0.5243,Water,Water,Water
155,84.8907494335306,19.2220157022969,0.5035,Water,Water,Water
156,84.8776340303824,19.210696929717,0.5137,Water,Water,Water
157,84.911770011179,19.2551635362809,0.5152,Water,Water,Water
158,84.8681118883708,19.2158173268365,0.5311,Water,Water,Water
159,84.889761286718,19.2370175675417,0.5669,Water,Water,Water
160,84.9042241627924,19.2517499382013,0.5091,Water,Water,Water
161,84.8697288558822,19.2101579405465,0.5355,Water,Water,Water
162,85.0328629114783,19.3906294811261,0.6627,Water,Water,Water
163,84.8916477488147,19.2283937408142,0.5301,Water,Water,Water
164,84.9105123697812,19.2513007805592,0.552,Water,Water,Water
165,84.8815866176326,19.2172546312911,0.5135,Water,Water,Water
166,84.872513633263,19.2011747877053,0.5344,Water,Water,Water
167,84.8715254864504,19.2197699140866,0.5379,Water,Water,Water
168,84.8667644154446,19.2149190115524,0.4912,Water,Water,Water
169,84.9235379414009,19.2660331512188,0.5842,Water,Water,Water
170,84.8982054503888,19.2444735843999,0.5553,Water,Water,Water
171,84.9128479895199,19.2588466289458,0.532,Water,Water,Water
172,84.9830962447381,19.336730564079,0.2401,Water,Water,Water
173,84.8692796982401,19.2062951848248,0.525,Water,Water,Water
174,84.8845510580701,19.2230038491094,0.5462,Water,Water,Water
175,85.0335815637056,19.3963786989445,0.3265,Water,Intertidal,Water
176,84.8800594816496,19.2243513220356,0.5413,Water,Water,Water
177,84.8875154985077,19.2123138972284,0.5389,Water,Water,Water
178,84.9007207331843,19.2354006000303,0.5608,Water,Water,Water
179,84.9365635130207,19.273938325719,0.5102,Water,Water,Water
